[PATRIOT • Жирик]: -695.1956176757812, 83.93406677246094, 55.835205078125 || 0, 0, 0
[PATRIOT • Жирик]: -691.3054809570312, 98.33406829833984, 55.835205078125 || 0, 0, -0.346317321062088
[PATRIOT • dev spawn]: 3349.81982421875, 5151.73193359375, 19.5911865234375 || 0, 0, 1.9294822216033936
[PATRIOT • cam auth]: 3313.331787109375, 5169.6396484375, 26.6007080078125 || 0, 0, -1.3357954025268555
[PATRIOT • cam pos 2]: 3430.0615234375, 5175.1650390625, 29.7347412109375 || 0, 0, -2.4242210388183594
[PATRIOT • camauth2]: 3567.270263671875, 5063.03759765625, 24.090087890625 || 0, 0, -1.9294822216033936
[PATRIOT • pers 2 cam]: 1911.2967529296875, 2464.813232421875, 54.807373046875 || 0, 0, -0.5936868190765381
-- [PATRIOT • 1 cam: PERS]: 3335.050537109375, 5162.82177734375, 18.2938232421875 || 0, 0, 2.5231688022613525
 [JSON]: "x": 3335.050537109375, "y": 5162.82177734375, "z": 18.2938232421875, "rot": 144.56692336865447
-- [PATRIOT • CAM 7: to]: -1178.3077392578125, 4384.87890625, 36.154541015625 || 0, 0, -79.37008347653894
 [JSON]: { "x": -1421.7626953125, "y": 4306.1669921875, "z": 34.4359130859375, "rot": -73.70079423899658 }

-- [PATRIOT • CAM 8: PERS]: 522.0791015625, 6552.52734375, 27.4095458984375 || 0, 0, -102.04725408708674
 [JSON]: { "x": 522.0791015625, "y": 6552.52734375, "z": 27.4095458984375, "rot": -102.04725408708674 }

-- [PATRIOT • CAM 8: from]: 405.70550537109375, 6575.72314453125, 32.818359375 || 0, 0, -107.7165433246291
 [JSON]: { "x": 405.70550537109375, "y": 6575.72314453125, "z": 32.818359375, "rot": -107.7165433246291 }

-- [PATRIOT • CAM 8: to]: 644.1494750976562, 6526.89208984375, 31.79052734375 || 0, 0, -102.04725408708674
 [JSON]: { "x": 644.1494750976562, "y": 6526.89208984375, "z": 31.79052734375, "rot": -102.04725408708674 }

-- [PATRIOT • CAM 9: PERS]: -1487.7098388671875, 2274.32958984375, 32.5487060546875 || 0, 0, 153.07087771553552
 [JSON]: { "x": -1487.7098388671875, "y": 2274.32958984375, "z": 32.5487060546875, "rot": 153.07087771553552 }

-- [PATRIOT • CAM 9: from]: -1391.90771484375, 2417.419677734375, 58.2109375 || 0, 0, 150.23622626657516
 [JSON]: { "x": -1391.90771484375, "y": 2417.419677734375, "z": 58.2109375, "rot": 150.23622626657516 }

-- [PATRIOT • CAM 9: to]: -1563.81103515625, 2136.38232421875, 70.0732421875 || 0, 0, 144.56692336865447
 [JSON]: { "x": -1563.81103515625, "y": 2136.38232421875, "z": 70.0732421875, "rot": 144.56692336865447 }

-- [PATRIOT • CAM 10: PERS]: -1221.006591796875, -100.9054946899414, 42.5238037109375 || 0, 0, -110.55118794340028
 [JSON]: { "x": -1221.006591796875, "y": -100.9054946899414, "z": 42.5238037109375, "rot": -110.55118794340028 }

-- [PATRIOT • CAM 10: from]: -1313.7626953125, -48.369232177734375, 62.3560791015625 || 0, 0, -121.88976641848501
 [JSON]: { "x": -1313.7626953125, "y": -48.369232177734375, "z": 62.3560791015625, "rot": -121.88976641848501 }

-- [PATRIOT • CAM 10: to]: -1062.4219970703125, -182.37362670898438, 56.6102294921875 || 0, 0, -116.22047718094265
 [JSON]: { "x": -1062.4219970703125, "y": -182.37362670898438, "z": 56.6102294921875, "rot": -116.22047718094265 }

-- [PATRIOT • CAM 11: PERS]: -825.1516723632812, 350.1098937988281, 86.788330078125 || 0, 0, -147.40158847799316
 [JSON]: { "x": -825.1516723632812, "y": 350.1098937988281, "z": 86.788330078125, "rot": -147.40158847799316 }

-- [PATRIOT • CAM 11: from]: -848.4132080078125, 289.22637939453125, 91.202880859375 || 0, 0, 0
 [JSON]: { "x": -848.4132080078125, "y": 289.22637939453125, "z": 91.202880859375, "rot": 0 }

-- [PATRIOT • CAM 11: to]: -854.2549438476562, 434.72967529296875, 93.6461181640625 || 0, 0, 2.8346456859882396
 [JSON]: { "x": -854.2549438476562, "y": 434.72967529296875, "z": 93.6461181640625, "rot": 2.8346456859882396 }

-- [PATRIOT • CAM 12: PERS]: 1113.5604248046875, -649.7933959960938, 57.7391357421875 || 0, 0, 0
 [JSON]: { "x": 1113.5604248046875, "y": -649.7933959960938, "z": 57.7391357421875, "rot": 0 }

-- [PATRIOT • CAM 12: from]: 1181.82861328125, -747.7977905273438, 70.0732421875 || 0, 0, 42.519686357040655
 [JSON]: { "x": 1181.82861328125, "y": -747.7977905273438, "z": 70.0732421875, "rot": 42.519686357040655 }

-- [PATRIOT • CAM 12: to]: 1035.3099365234375, -623.076904296875, 70.03955078125 || 0, 0, 51.02362704354337
 [JSON]: { "x": 1035.3099365234375, "y": -623.076904296875, "z": 70.03955078125, "rot": 51.02362704354337 }
